type,name,email,phone,address,date,productName,sku,quantity,unitPrice,taxPercent,total,modeOfPayment,paymentStatus,assignedTo,notes,discount,taxSummary,subtotal,grandTotal,status,followUpReminder,source,deliveryPartner
sale,Customer 626,customer291@example.com,9773164465,Billing Address 32,2024-08-29,Sample Product,SKU9300,3,1262,18,4467.48,Bank Transfer,Pending,Salesperson 16,Seeded entry for testing,216,18% GST,3786,4251.48,Draft,2024-09-05,CSV Seeder,
sale,Customer 582,customer976@example.com,9114300414,Billing Address 24,2024-07-12,Sample Product,SKU4925,5,1243,18,7333.7,Bank Transfer,Paid,Salesperson 7,Seeded entry for testing,152,18% GST,6215,7181.7,Draft,2024-07-19,CSV Seeder,
sale,Customer 242,customer527@example.com,9494405347,Billing Address 85,2024-10-24,Sample Product,SKU1983,5,550,18,3245.0,Bank Transfer,Partially Paid,Salesperson 11,Seeded entry for testing,486,18% GST,2750,2759.0,Received,2024-10-31,CSV Seeder,
sale,Customer 158,customer456@example.com,9607148614,Billing Address 77,2024-08-26,Sample Product,SKU6208,4,833,18,3931.76,Cash,Partially Paid,Salesperson 7,Seeded entry for testing,133,18% GST,3332,3798.76,Confirmed,2024-09-02,CSV Seeder,
sale,Customer 237,customer533@example.com,9146822281,Billing Address 44,2024-09-13,Sample Product,SKU2004,3,1544,18,5465.76,Bank Transfer,Pending,Salesperson 37,Seeded entry for testing,292,18% GST,4632,5173.76,Received,2024-09-20,CSV Seeder,
sale,Customer 320,customer539@example.com,9293622805,Billing Address 57,2024-10-31,Sample Product,SKU4579,1,1742,18,2055.56,UPI,Paid,Salesperson 22,Seeded entry for testing,474,18% GST,1742,1581.56,Confirmed,2024-11-07,CSV Seeder,
sale,Customer 315,customer376@example.com,9498519140,Billing Address 19,2024-06-29,Sample Product,SKU4169,2,1038,18,2449.68,UPI,Pending,Salesperson 33,Seeded entry for testing,112,18% GST,2076,2337.68,Draft,2024-07-06,CSV Seeder,
sale,Customer 137,customer765@example.com,9107156424,Billing Address 98,2024-06-12,Sample Product,SKU4629,10,1096,18,12932.8,UPI,Partially Paid,Salesperson 16,Seeded entry for testing,161,18% GST,10960,12771.8,Received,2024-06-19,CSV Seeder,
sale,Customer 405,customer546@example.com,9713948344,Billing Address 85,2024-07-02,Sample Product,SKU1794,4,1577,18,7443.44,Bank Transfer,Paid,Salesperson 9,Seeded entry for testing,5,18% GST,6308,7438.44,Draft,2024-07-09,CSV Seeder,
sale,Customer 162,customer979@example.com,9147880832,Billing Address 60,2024-11-28,Sample Product,SKU6986,4,1838,18,8675.36,Cash,Paid,Salesperson 5,Seeded entry for testing,303,18% GST,7352,8372.36,Cancelled,2024-12-05,CSV Seeder,
sale,Customer 763,customer978@example.com,9864367935,Billing Address 53,2024-11-14,Sample Product,SKU7174,4,947,18,4469.84,Bank Transfer,Partially Paid,Salesperson 48,Seeded entry for testing,236,18% GST,3788,4233.84,Cancelled,2024-11-21,CSV Seeder,
sale,Customer 462,customer479@example.com,9732761183,Billing Address 57,2025-04-03,Sample Product,SKU2843,1,1113,18,1313.34,UPI,Partially Paid,Salesperson 26,Seeded entry for testing,444,18% GST,1113,869.34,Received,2025-04-10,CSV Seeder,
sale,Customer 546,customer826@example.com,9771894835,Billing Address 33,2024-07-25,Sample Product,SKU1027,4,1024,18,4833.28,Cash,Paid,Salesperson 15,Seeded entry for testing,12,18% GST,4096,4821.28,Cancelled,2024-08-01,CSV Seeder,
sale,Customer 549,customer790@example.com,9234254676,Billing Address 62,2024-11-15,Sample Product,SKU5166,10,965,18,11387.0,Cash,Partially Paid,Salesperson 35,Seeded entry for testing,355,18% GST,9650,11032.0,Draft,2024-11-22,CSV Seeder,
sale,Customer 427,customer143@example.com,9448938894,Billing Address 9,2024-09-13,Sample Product,SKU5119,4,1040,18,4908.8,Cash,Partially Paid,Salesperson 47,Seeded entry for testing,309,18% GST,4160,4599.8,Received,2024-09-20,CSV Seeder,
sale,Customer 710,customer587@example.com,9776259061,Billing Address 26,2025-02-28,Sample Product,SKU5794,8,521,18,4918.24,Cash,Paid,Salesperson 28,Seeded entry for testing,53,18% GST,4168,4865.24,Received,2025-03-07,CSV Seeder,
sale,Customer 328,customer643@example.com,9760555611,Billing Address 70,2024-07-17,Sample Product,SKU9055,4,1193,18,5630.96,Bank Transfer,Partially Paid,Salesperson 21,Seeded entry for testing,48,18% GST,4772,5582.96,Confirmed,2024-07-24,CSV Seeder,
sale,Customer 873,customer572@example.com,9393507167,Billing Address 92,2024-08-01,Sample Product,SKU2971,8,711,18,6711.84,Bank Transfer,Pending,Salesperson 20,Seeded entry for testing,330,18% GST,5688,6381.84,Confirmed,2024-08-08,CSV Seeder,
sale,Customer 855,customer432@example.com,9332049671,Billing Address 58,2025-01-10,Sample Product,SKU8437,2,1759,18,4151.24,Cash,Pending,Salesperson 47,Seeded entry for testing,118,18% GST,3518,4033.24,Cancelled,2025-01-17,CSV Seeder,
